description,command
drops all the traffic coming on any port.,iptables -t filter --append INPUT -j DROP <eos>
deletes the rule 2 from INPUT chain.,iptables -t filter --delete INPUT 2 <eos>
checks whether the specified rule is present in the INPUT chain.,iptables -t filter --check INPUT -s 192.168.1.123 -j DROP <eos>
appends a rule in the INPUT chain to drop all udp packets.,iptables -t filter -A INPUT -p udp -j DROP <eos>
appends a rule in the INPUT chain to accept all packets originating from 192.168.1.230.,iptables -t filter -A INPUT -s 192.168.1.230 -j ACCEPT <eos>
appends a rule in the OUTPUT chain to drop all packets destined for 192.168.1.123.,iptables -t filter -A OUTPUT -d 192.168.1.123 -j DROP <eos>
append a rule to the OUTPUT chain to allow all outgoing traffic,"iptables -A OUTPUT -j ACCEPT"" <eos>"
allow incoming TCP traffic on port 80,iptables -A INPUT -p tcp --dport 80 -j ACCEPT <eos>
check existing configured iptables rules,iptables -L -n -v <eos>
block input traffic from an IP address xxx.xxx.xxx.xxx,iptables -A INPUT -s xxx.xxx.xxx.xxx -j DROP <eos>
block input TCP traffic from an IP xxx.xxx.xxx.xxx,iptables -A INPUT -p tcp -s xxx.xxx.xxx.xxx -j DROP <eos>
remove or unblock specific IP xxx.xxx.xxx.xxx,iptables -D INPUT -s xxx.xxx.xxx.xxx -j DROP <eos>
allow outgoing connection on port 25 to network 192.160.5.0/24,iptables -A OUTPUT -p tcp -d 192.168.5.0/24 --dport 25 -j ACCEPT <eos>
block outgoing connection with protocol TCP on a specific port xxx,iptables -A OUTPUT -p tcp --dport xxx -j DROP <eos>
allow incoming TCP traffic on port 443,iptables -A INPUT -p tcp --dport 443 -j ACCEPT <eos>
allow incoming TCP traffic on port 1080,iptables -A INPUT -p tcp --dport 1080 -j ACCEPT <eos>
block incoming TCP traffic on port 1080,iptables -A INPUT -p tcp --dport 1080 -j DROP <eos>
block incoming TCP traffic on port 443,iptables -A INPUT -p tcp --dport 443 -j DROP <eos>
allow incoming TCP traffic on port 443,iptables -A INPUT -p tcp --dport 443 -j ACCEPT <eos>
allow incoming TCP traffic on port 444,iptables -A INPUT -p tcp --dport 444 -j ACCEPT <eos>
allow incoming TCP traffic on port 445,iptables -A INPUT -p tcp --dport 445 -j ACCEPT <eos>
allow incoming TCP traffic on port 446,iptables -A INPUT -p tcp --dport 446 -j ACCEPT <eos>
allow incoming TCP traffic on port 447,iptables -A INPUT -p tcp --dport 447 -j ACCEPT <eos>
allow incoming TCP traffic on port 448,iptables -A INPUT -p tcp --dport 448 -j ACCEPT <eos>
allow incoming TCP traffic on port 449,iptables -A INPUT -p tcp --dport 449 -j ACCEPT <eos>
allow incoming TCP traffic on port 450,iptables -A INPUT -p tcp --dport 450 -j ACCEPT <eos>
allow incoming TCP traffic on port 451,iptables -A INPUT -p tcp --dport 451 -j ACCEPT <eos>
allow incoming TCP traffic on port 452,iptables -A INPUT -p tcp --dport 452 -j ACCEPT <eos>
allow incoming TCP traffic on port 453,iptables -A INPUT -p tcp --dport 453 -j ACCEPT <eos>
allow incoming TCP traffic on port 454,iptables -A INPUT -p tcp --dport 454 -j ACCEPT <eos>
allow incoming TCP traffic on port 455,iptables -A INPUT -p tcp --dport 455 -j ACCEPT <eos>
allow incoming TCP traffic on port 456,iptables -A INPUT -p tcp --dport 456 -j ACCEPT <eos>
allow incoming TCP traffic on port 457,iptables -A INPUT -p tcp --dport 457 -j ACCEPT <eos>
allow incoming TCP traffic on port 458,iptables -A INPUT -p tcp --dport 458 -j ACCEPT <eos>
allow incoming TCP traffic on port 459,iptables -A INPUT -p tcp --dport 459 -j ACCEPT <eos>
allow incoming TCP traffic on port 460,iptables -A INPUT -p tcp --dport 460 -j ACCEPT <eos>
allow incoming TCP traffic on port 461,iptables -A INPUT -p tcp --dport 461 -j ACCEPT <eos>
allow incoming TCP traffic on port 462,iptables -A INPUT -p tcp --dport 462 -j ACCEPT <eos>
allow incoming TCP traffic on port 463,iptables -A INPUT -p tcp --dport 463 -j ACCEPT <eos>
allow incoming TCP traffic on port 464,iptables -A INPUT -p tcp --dport 464 -j ACCEPT <eos>
allow incoming TCP traffic on port 465,iptables -A INPUT -p tcp --dport 465 -j ACCEPT <eos>
allow incoming TCP traffic on port 466,iptables -A INPUT -p tcp --dport 466 -j ACCEPT <eos>
allow incoming TCP traffic on port 467,iptables -A INPUT -p tcp --dport 467 -j ACCEPT <eos>
allow incoming TCP traffic on port 468,iptables -A INPUT -p tcp --dport 468 -j ACCEPT <eos>
allow incoming TCP traffic on port 469,iptables -A INPUT -p tcp --dport 469 -j ACCEPT <eos>
allow incoming TCP traffic on port 470,iptables -A INPUT -p tcp --dport 470 -j ACCEPT <eos>
allow incoming TCP traffic on port 471,iptables -A INPUT -p tcp --dport 471 -j ACCEPT <eos>
allow incoming TCP traffic on port 472,iptables -A INPUT -p tcp --dport 472 -j ACCEPT <eos>
allow incoming TCP traffic on port 473,iptables -A INPUT -p tcp --dport 473 -j ACCEPT <eos>
allow incoming TCP traffic on port 474,iptables -A INPUT -p tcp --dport 474 -j ACCEPT <eos>
allow incoming TCP traffic on port 475,iptables -A INPUT -p tcp --dport 475 -j ACCEPT <eos>
allow incoming TCP traffic on port 476,iptables -A INPUT -p tcp --dport 476 -j ACCEPT <eos>
allow incoming TCP traffic on port 477,iptables -A INPUT -p tcp --dport 477 -j ACCEPT <eos>
allow incoming TCP traffic on port 478,iptables -A INPUT -p tcp --dport 478 -j ACCEPT <eos>
allow incoming TCP traffic on port 479,iptables -A INPUT -p tcp --dport 479 -j ACCEPT <eos>
allow incoming TCP traffic on port 480,iptables -A INPUT -p tcp --dport 480 -j ACCEPT <eos>
allow incoming TCP traffic on port 481,iptables -A INPUT -p tcp --dport 481 -j ACCEPT <eos>
allow incoming TCP traffic on port 482,iptables -A INPUT -p tcp --dport 482 -j ACCEPT <eos>
allow incoming TCP traffic on port 483,iptables -A INPUT -p tcp --dport 483 -j ACCEPT <eos>
allow incoming TCP traffic on port 484,iptables -A INPUT -p tcp --dport 484 -j ACCEPT <eos>
allow incoming TCP traffic on port 485,iptables -A INPUT -p tcp --dport 485 -j ACCEPT <eos>
allow incoming TCP traffic on port 486,iptables -A INPUT -p tcp --dport 486 -j ACCEPT <eos>
allow incoming TCP traffic on port 487,iptables -A INPUT -p tcp --dport 487 -j ACCEPT <eos>
allow incoming TCP traffic on port 488,iptables -A INPUT -p tcp --dport 488 -j ACCEPT <eos>
allow incoming TCP traffic on port 489,iptables -A INPUT -p tcp --dport 489 -j ACCEPT <eos>
allow incoming TCP traffic on port 490,iptables -A INPUT -p tcp --dport 490 -j ACCEPT <eos>
allow incoming TCP traffic on port 491,iptables -A INPUT -p tcp --dport 491 -j ACCEPT <eos>
allow incoming TCP traffic on port 492,iptables -A INPUT -p tcp --dport 492 -j ACCEPT <eos>
